Cost ($/unit),Material Cost ($/unit),Labor (hour/unit),Milling Ops (count/unit)
38.05,1.531488,0.433,9
48.35,1.208917,0.7,15
26.2,1.107249,0.3,7
41.82,3.584881,0.45,8
47.21,1.931105,0.6,20
38.36,2.06795,0.517,14
53.59,1.857015,0.633,15
46.13,1.52007,0.35,9
61.79,7.516704,0.367,21
43.39,3.04971,0.317,13
43.17,4.143137,0.65,22
24.27,2.288815,0.2,11
28.98,2.72624,0.3,12
47.76,1.43547,0.35,17
35.55,3.376101,0.367,11
48.43,2.616747,0.533,7
46.33,1.730625,0.517,9
46.09,2.683835,0.533,8
24.73,2.216043,0.367,14
39.49,0.9641,0.483,5
48.9,1.817436,0.55,13
38.54,0.966427,0.383,7
48.83,4.019176,0.517,18
27.83,1.245165,0.3,8
31.57,2.145032,0.2,11
49.53,1.358447,0.55,6
35.81,2.617596,0.483,6
29.28,1.186294,0.45,9
31.08,1.231048,0.467,12
28.28,0.890043,0.267,6
41.91,1.75168,0.517,10
45.52,0.71596,0.55,9
31.21,1.821815,0.583,11
56.43,2.449887,0.617,10
33.21,0.854744,0.433,5
57.65,4.206956,0.367,13
34.39,1.74342,0.383,8
31.35,1.397697,0.267,10
40.48,4.47678,0.583,12
53.68,3.281226,0.583,9
40.2,2.980699,0.217,12
22.5,3.31716,0.267,12
34.88,1.215309,0.383,7
37.33,3.338576,0.317,10
37.2,1.399768,0.25,5
34,2.17051,0.367,10
81.22,1.10507,0.4,6
35.34,1.52536,0.333,14
36.88,2.659335,0.317,12
23.75,2.27724,0.333,14
39.03,1.897313,0.417,14
40.34,1.778202,0.467,5
36.97,1.985124,0.467,13
42.09,2.54694,0.4,8
26.46,1.9953,0.317,6
38.01,3.037526,0.467,13
28.5,1.776192,0.267,7
40.05,1.521795,0.4,1
24.8,1.366872,0.167,6
33.59,1.2168,0.483,13
37.29,1.435434,0.4,11
34.39,1.63269,0.45,10
43.19,3.913779,0.55,9
30.37,1.04193,0.3,5
47.85,3.42333,0.517,13
35.14,2.494492,0.367,15
38.81,2.762331,0.333,10
43.56,3.203334,0.5,9
43.21,2.86565,0.533,18
48.97,1.920568,0.583,12
42.47,1.28331,0.367,7
41.4,3.24632,0.55,19
39.86,3.164976,0.533,12
47.39,2.343585,0.567,17
