doctor_id,hospital_type,response,satisfaction
296,large,1,4
297,small,0,NA
298,large,1,5
299,large,1,5
300,small,0,NA
301,large,1,3
302,medium,0,NA
303,medium,0,NA
304,medium,0,NA
305,medium,0,NA
306,medium,1,1
307,large,0,NA
308,medium,0,NA
309,small,0,NA
310,large,0,NA
311,medium,0,NA
312,large,1,4
313,large,1,4
314,medium,0,NA
315,large,1,4
316,large,1,5
317,medium,0,NA
318,medium,0,NA
319,medium,1,3
320,large,0,NA
321,medium,1,5
322,small,0,NA
323,small,0,NA
324,small,0,NA
325,small,0,NA
326,large,0,NA
327,medium,0,NA
328,medium,1,4
329,small,0,NA
330,small,0,NA
331,medium,0,NA
332,medium,0,NA
333,medium,0,NA
334,medium,0,NA
335,small,0,NA
336,large,1,5
337,large,1,4
338,large,1,5
339,small,0,NA
340,small,0,NA
341,medium,1,3
342,large,1,4
343,medium,0,NA
344,large,1,2
345,small,0,NA
346,small,0,NA
347,medium,0,NA
348,large,0,NA
349,small,0,NA
350,small,0,NA
351,medium,0,NA
352,small,0,NA
353,large,1,3
354,large,0,NA
355,medium,1,5
356,large,1,5
357,large,1,5
358,medium,1,5
359,medium,0,NA
360,small,0,NA
361,large,1,5
362,medium,1,3
363,small,0,NA
364,medium,1,2
365,small,0,NA
366,medium,0,NA
367,medium,0,NA
368,medium,0,NA
369,medium,0,NA
370,large,0,NA
371,medium,0,NA
372,large,1,4
373,medium,0,NA
374,large,1,5
375,large,1,4
376,medium,1,5
377,small,0,NA
378,small,0,NA
379,small,1,1
380,medium,1,4
381,large,1,5
382,small,0,NA
383,medium,0,NA
384,small,0,NA
385,large,0,NA
386,small,0,NA
387,small,1,1
388,small,0,NA
389,large,1,5
390,medium,0,NA
391,small,0,NA
392,medium,0,NA
393,large,1,5
394,medium,1,4
395,medium,0,NA
396,large,1,4
397,large,1,4
398,small,0,NA
399,medium,0,NA
400,medium,0,NA
401,small,0,NA
402,large,1,3
403,medium,0,NA
404,small,0,NA
405,large,1,5
406,small,0,NA
407,small,0,NA
408,small,0,NA
409,small,0,NA
410,large,1,5
411,medium,0,NA
412,small,0,NA
413,large,1,5
414,small,1,2
415,large,1,5
416,small,0,NA
417,small,0,NA
418,medium,0,NA
419,small,1,1
420,small,0,NA
421,large,0,NA
422,small,0,NA
423,medium,1,3
424,small,0,NA
425,large,1,2
426,small,1,3
427,small,0,NA
428,medium,0,NA
429,small,0,NA
430,small,0,NA
431,medium,0,NA
432,large,1,3
433,small,0,NA
434,large,1,4
435,large,1,5
436,medium,0,NA
437,small,0,NA
438,small,0,NA
439,medium,0,NA
440,large,1,4
441,large,1,4
442,small,0,NA
443,large,1,4
444,medium,0,NA
445,small,0,NA
446,small,0,NA
447,large,1,5
448,large,0,NA
449,medium,1,4
450,large,0,NA
451,small,0,NA
452,medium,0,NA
453,small,0,NA
454,medium,1,3
455,large,0,NA
456,medium,1,3
457,large,1,5
458,medium,0,NA
459,small,0,NA
460,medium,0,NA
461,large,0,NA
462,large,1,5
463,medium,0,NA
464,large,0,NA
465,large,0,NA
466,small,0,NA
467,large,1,5
468,medium,0,NA
469,small,0,NA
470,large,1,4
471,large,0,NA
472,large,1,3
473,medium,1,4
474,large,1,4
475,medium,0,NA
476,large,1,5
477,medium,0,NA
478,medium,1,1
479,small,0,NA
480,small,0,NA
481,small,0,NA
482,medium,0,NA
483,large,1,4
484,medium,0,NA
485,medium,1,5
486,small,0,NA
487,medium,1,5
488,large,1,4
489,medium,0,NA
490,small,1,1
491,small,0,NA
492,medium,1,4
493,medium,1,5
494,small,1,4
495,large,1,4
496,medium,1,5
497,small,0,NA
498,small,1,2
499,small,0,NA
500,small,1,5
501,small,0,NA
502,medium,0,NA
503,large,0,NA
504,small,1,3
505,small,0,NA
506,small,0,NA
507,medium,0,NA
508,large,1,5
509,large,1,5
510,medium,0,NA
511,small,0,NA
512,large,0,NA
513,medium,1,3
514,small,0,NA
515,large,1,5
516,large,1,5
517,small,0,NA
518,large,0,NA
519,small,0,NA
520,small,0,NA
521,small,0,NA
522,small,0,NA
523,medium,1,3
524,large,1,5
525,small,0,NA
526,large,1,4
527,small,0,NA
528,small,1,1
529,small,0,NA
530,medium,0,NA
531,large,0,NA
532,small,0,NA
533,small,0,NA
534,large,1,2
535,large,1,5
536,large,0,NA
537,medium,1,2
538,medium,0,NA
539,large,1,4
540,small,0,NA
541,medium,1,3
542,large,0,NA
543,small,0,NA
544,small,0,NA
545,small,0,NA
546,large,0,NA
547,medium,1,3
548,medium,1,3
549,medium,0,NA
550,large,0,NA
551,large,1,2
552,large,1,5
553,large,1,5
554,small,1,3
555,large,1,3
556,large,1,3
557,medium,1,4
558,small,0,NA
559,medium,0,NA
560,medium,0,NA
561,medium,0,NA
562,large,1,5
563,small,1,2
564,large,0,NA
565,large,0,NA
566,large,0,NA
567,large,1,3
568,large,1,2
569,medium,0,NA
570,small,0,NA
571,medium,0,NA
572,medium,0,NA
573,medium,1,3
574,small,0,NA
575,large,1,4
576,large,1,5
577,large,1,4
578,medium,1,3
579,large,1,4
580,medium,1,3
581,medium,1,1
582,small,0,NA
583,large,1,5
584,medium,0,NA
585,small,0,NA
586,medium,0,NA
587,large,0,NA
588,medium,0,NA
589,small,0,NA
590,small,1,1
591,medium,1,3
592,large,1,5
593,small,0,NA
594,small,0,NA
595,small,0,NA
596,small,0,NA
597,small,0,NA
598,large,1,4
599,medium,1,4
600,small,1,1
601,small,0,NA
602,small,1,1
603,large,1,5
604,small,0,NA
605,large,1,4
606,small,0,NA
607,medium,0,NA
608,small,0,NA
609,large,1,5
610,small,0,NA
611,small,0,NA
612,medium,0,NA
613,large,1,5
614,large,0,NA
615,large,1,2
616,large,0,NA
617,small,0,NA
618,small,0,NA
619,medium,0,NA
620,large,1,5
621,large,0,NA
622,small,1,3
623,medium,0,NA
624,medium,0,NA
625,large,1,2
626,medium,0,NA
627,small,0,NA
628,large,0,NA
629,large,1,5
630,small,0,NA
631,small,0,NA
632,small,1,4
633,small,1,2
634,large,1,4
635,small,0,NA
636,medium,1,5
637,medium,1,3
638,medium,0,NA
639,medium,0,NA
640,medium,0,NA
641,small,0,NA
642,medium,0,NA
643,medium,0,NA
644,small,0,NA
645,small,0,NA
646,small,1,1
647,large,1,4
648,small,1,2
649,large,1,3
650,small,0,NA
651,large,1,3
652,medium,1,1
653,medium,0,NA
654,small,0,NA
655,large,1,5
656,small,0,NA
657,large,0,NA
658,medium,0,NA
659,medium,1,3
660,small,0,NA
661,medium,0,NA
662,medium,1,5
663,small,0,NA
664,large,1,5
665,large,1,5
666,small,0,NA
667,large,1,4
668,large,1,5
669,medium,0,NA
670,small,0,NA
671,small,1,1
672,large,0,NA
673,small,0,NA
674,small,0,NA
675,large,1,3
676,medium,0,NA
677,small,0,NA
678,medium,0,NA
679,large,0,NA
680,large,1,5
681,large,1,5
682,large,1,5
683,large,1,4
684,small,1,4
685,small,0,NA
686,small,0,NA
687,large,1,2
688,large,1,2
689,small,0,NA
690,large,1,4
691,medium,1,3
692,large,1,5
693,medium,0,NA
694,medium,0,NA
695,large,0,NA
696,medium,1,1
697,small,0,NA
698,small,1,3
699,small,0,NA
700,small,0,NA
701,small,0,NA
702,medium,0,NA
703,small,1,4
704,large,1,5
705,large,1,5
706,large,1,2
707,small,1,1
708,medium,0,NA
709,small,1,5
710,small,1,3
711,medium,0,NA
712,medium,0,NA
713,medium,0,NA
714,medium,1,1
715,large,1,3
716,small,0,NA
717,large,1,2
718,small,0,NA
719,medium,0,NA
720,large,1,2
721,large,1,5
722,medium,0,NA
723,medium,0,NA
724,large,1,4
725,medium,0,NA
726,medium,1,3
727,large,1,5
728,small,0,NA
729,medium,0,NA
730,large,1,5
731,large,1,4
732,medium,0,NA
733,small,1,4
734,small,0,NA
735,small,0,NA
736,large,1,2
737,large,1,5
738,small,0,NA
739,large,1,2
740,medium,0,NA
741,small,0,NA
742,medium,1,3
743,small,0,NA
744,medium,0,NA
745,large,1,4
746,large,0,NA
747,medium,0,NA
748,large,0,NA
749,small,0,NA
750,large,1,3
751,small,1,4
752,large,0,NA
753,small,0,NA
754,large,0,NA
755,small,0,NA
756,large,1,5
757,large,1,3
758,large,1,5
759,large,0,NA
760,small,0,NA
761,large,1,2
762,small,0,NA
763,medium,1,4
764,medium,0,NA
765,medium,0,NA
766,large,1,5
767,medium,0,NA
768,large,1,5
769,large,1,5
770,large,1,5
771,medium,0,NA
772,medium,0,NA
773,medium,0,NA
774,medium,1,4
775,large,1,5
776,large,1,5
777,small,0,NA
778,medium,1,3
779,medium,1,3
780,medium,1,5
781,large,1,5
782,medium,0,NA
783,large,1,5
784,large,1,4
785,medium,0,NA
786,small,0,NA
787,medium,0,NA
788,medium,0,NA
789,medium,1,1
790,medium,1,3
791,large,1,2
792,medium,0,NA
793,medium,1,3
794,small,0,NA
795,small,0,NA
796,small,0,NA
797,medium,0,NA
798,small,0,NA
799,small,0,NA
800,large,1,5
801,medium,0,NA
802,medium,0,NA
803,large,1,5
804,large,1,2
805,small,1,2
806,medium,0,NA
807,medium,0,NA
808,small,0,NA
809,medium,0,NA
810,medium,0,NA
811,large,0,NA
812,small,0,NA
813,small,0,NA
814,medium,0,NA
815,small,0,NA
816,large,1,4
817,small,0,NA
818,large,1,5
819,large,1,4
820,medium,1,4
821,large,0,NA
822,large,1,2
823,medium,0,NA
824,small,0,NA
825,large,0,NA
826,large,0,NA
827,medium,1,5
828,small,1,1
829,medium,0,NA
830,small,0,NA
831,small,0,NA
832,large,0,NA
833,large,0,NA
834,small,0,NA
835,large,0,NA
836,large,1,4
837,large,1,4
838,large,0,NA
839,small,0,NA
840,large,1,5
841,large,1,5
842,small,1,5
843,small,0,NA
844,small,0,NA
845,large,1,3
846,small,1,3
847,large,1,4
848,small,0,NA
849,large,1,5
850,small,0,NA
851,medium,1,2
852,small,0,NA
853,small,0,NA
854,medium,0,NA
855,small,0,NA
856,large,0,NA
857,large,1,5
858,large,1,5
859,large,1,3
860,medium,0,NA
861,small,1,5
862,small,1,5
863,medium,0,NA
864,small,0,NA
865,medium,0,NA
866,small,0,NA
867,medium,1,3
868,medium,0,NA
869,small,0,NA
870,medium,1,2
871,medium,0,NA
872,small,0,NA
873,medium,1,3
874,small,0,NA
875,small,0,NA
876,medium,0,NA
877,small,0,NA
878,medium,1,5
879,medium,1,3
880,small,1,2
881,small,0,NA
882,small,1,3
883,small,1,3
884,medium,0,NA
885,large,0,NA
886,large,0,NA
887,small,1,3
888,small,1,3
889,small,0,NA
890,large,1,5
891,medium,1,3
892,small,0,NA
893,small,0,NA
894,small,0,NA
895,large,1,5
896,large,0,NA
897,medium,1,4
898,medium,1,5
899,large,0,NA
900,large,1,4
901,small,0,NA
902,small,1,2
903,large,0,NA
904,medium,1,1
905,large,0,NA
906,medium,0,NA
907,medium,0,NA
908,large,1,2
909,large,1,4
910,medium,1,3
911,large,1,4
912,large,1,5
913,medium,1,2
914,large,1,2
915,medium,0,NA
916,large,1,5
917,medium,1,4
918,small,0,NA
919,medium,1,1
920,large,1,5
921,small,0,NA
922,large,1,5
923,medium,0,NA
924,large,1,5
925,medium,0,NA
926,medium,0,NA
927,large,1,5
928,large,0,NA
929,medium,0,NA
930,small,0,NA
931,medium,1,4
932,small,0,NA
933,large,0,NA
934,large,1,5
935,medium,1,4
936,medium,1,4
937,medium,1,4
938,large,1,5
939,large,1,4
940,large,1,5
941,small,0,NA
942,medium,1,5
943,small,0,NA
944,medium,0,NA
945,small,0,NA
946,small,0,NA
947,small,0,NA
948,large,0,NA
949,large,1,4
950,large,0,NA
951,small,0,NA
952,medium,0,NA
953,small,0,NA
954,small,1,1
955,small,0,NA
956,large,1,5
957,large,1,4
958,small,0,NA
959,small,0,NA
960,large,1,4
961,small,0,NA
962,medium,0,NA
963,medium,0,NA
964,small,0,NA
965,small,0,NA
966,large,1,5
967,medium,1,2
968,medium,1,5
969,small,0,NA
970,medium,1,4
971,small,0,NA
972,large,1,5
973,small,0,NA
974,medium,1,3
975,large,1,5
976,large,1,4
977,medium,0,NA
978,small,0,NA
979,small,0,NA
980,small,0,NA
981,medium,0,NA
982,large,1,4
983,large,1,4
984,small,0,NA
985,medium,0,NA
986,large,1,5
987,large,1,3
988,small,0,NA
989,small,0,NA
990,medium,1,2
991,small,0,NA
992,small,0,NA
993,small,0,NA
994,small,0,NA
995,small,0,NA
996,small,0,NA
997,large,1,5
998,medium,0,NA
999,small,0,NA
1000,small,1,2
1001,medium,1,2
1002,large,1,4
1003,large,0,NA
1004,medium,0,NA
1005,small,0,NA
1006,medium,0,NA
1007,large,1,4
1008,medium,0,NA
1009,small,0,NA
1010,medium,1,1
1011,medium,0,NA
1012,small,0,NA
1013,medium,1,3
1014,medium,1,5
1015,large,1,4
1016,small,1,1
1017,small,0,NA
1018,large,1,3
1019,medium,0,NA
1020,large,1,5
1021,medium,0,NA
1022,large,1,5
1023,medium,0,NA
1024,small,0,NA
1025,medium,1,3
1026,large,1,5
1027,small,0,NA
1028,large,1,5
1029,large,1,5
1030,small,0,NA
1031,large,1,2
1032,medium,0,NA
1033,large,1,3
1034,small,1,1
1035,large,1,4
1036,small,0,NA
1037,small,0,NA
1038,large,1,5
1039,medium,1,4
1040,small,0,NA
1041,small,0,NA
1042,small,0,NA
1043,large,1,5
1044,large,1,3
1045,large,1,5
1046,medium,1,5
1047,large,1,5
1048,small,0,NA
1049,medium,1,5
1050,large,1,5
1051,small,0,NA
1052,small,0,NA
1053,medium,0,NA
1054,small,0,NA
1055,large,1,4
1056,medium,1,3
1057,small,0,NA
1058,medium,1,5
1059,small,0,NA
1060,medium,1,3
1061,medium,1,3
1062,medium,0,NA
1063,medium,0,NA
1064,large,1,4
1065,large,0,NA
1066,small,0,NA
1067,medium,1,3
1068,medium,0,NA
1069,small,0,NA
1070,small,0,NA
1071,large,1,4
1072,medium,1,4
1073,medium,0,NA
1074,small,0,NA
1075,small,0,NA
1076,large,1,5
1077,small,0,NA
1078,small,1,5
1079,medium,1,5
1080,small,0,NA
1081,large,0,NA
1082,small,0,NA
1083,large,1,4
1084,large,1,5
1085,small,0,NA
1086,small,1,3
1087,medium,0,NA
1088,large,1,5
1089,small,0,NA
1090,large,1,5
1091,large,0,NA
1092,small,0,NA
1093,medium,0,NA
1094,small,0,NA
1095,small,0,NA
1096,large,1,5
1097,medium,0,NA
1098,medium,0,NA
1099,large,1,5
1100,large,0,NA
1101,medium,0,NA
1102,large,0,NA
1103,small,0,NA
1104,large,1,5
1105,large,0,NA
1106,medium,1,5
1107,small,0,NA
1108,small,0,NA
1109,medium,1,1
1110,medium,0,NA
1111,large,0,NA
1112,medium,0,NA
1113,small,0,NA
1114,large,1,5
1115,large,1,4
1116,medium,0,NA
1117,large,1,5
1118,small,1,1
1119,small,1,3
1120,medium,0,NA
1121,medium,0,NA
1122,large,0,NA
1123,large,1,3
1124,small,0,NA
1125,medium,1,1
1126,medium,1,2
1127,small,1,2
1128,medium,0,NA
1129,large,1,5
1130,medium,0,NA
1131,small,0,NA
1132,small,0,NA
1133,medium,1,2
1134,small,0,NA
1135,large,1,4
1136,small,0,NA
1137,medium,1,2
1138,medium,1,5
1139,medium,0,NA
1140,small,0,NA
1141,small,1,2
1142,large,1,5
1143,medium,0,NA
1144,large,1,5
1145,small,0,NA
1146,large,1,2
1147,small,0,NA
1148,large,0,NA
1149,medium,1,5
1150,large,1,5
1151,large,1,4
1152,large,0,NA
1153,large,1,4
1154,medium,0,NA
1155,medium,0,NA
1156,small,0,NA
1157,large,1,2
1158,medium,0,NA
1159,medium,0,NA
1160,small,0,NA
1161,medium,0,NA
1162,small,1,4
1163,large,1,5
1164,medium,1,5
1165,medium,0,NA
1166,small,0,NA
1167,small,0,NA
1168,small,0,NA
1169,large,1,5
1170,small,0,NA
1171,small,0,NA
1172,medium,1,5
1173,medium,0,NA
1174,small,0,NA
1175,small,0,NA
1176,large,1,3
1177,large,0,NA
1178,small,0,NA
1179,medium,1,4
1180,small,0,NA
1181,large,1,3
1182,medium,0,NA
1183,large,0,NA
1184,large,1,5
1185,small,1,5
1186,small,0,NA
1187,large,1,5
1188,small,0,NA
1189,medium,0,NA
1190,large,0,NA
1191,large,0,NA
1192,small,0,NA
1193,small,0,NA
1194,small,1,2
1195,large,0,NA
1196,large,1,3
1197,medium,1,3
1198,large,0,NA
1199,small,0,NA
1200,large,0,NA
1201,small,0,NA
1202,large,0,NA
1203,medium,1,3
1204,small,0,NA
1205,medium,1,4
1206,medium,0,NA
1207,medium,0,NA
1208,medium,0,NA
1209,large,0,NA
1210,large,0,NA
1211,large,1,5
1212,small,0,NA
1213,medium,0,NA
1214,small,0,NA
1215,small,0,NA
1216,large,1,2
1217,large,0,NA
1218,large,1,5
1219,medium,1,4
1220,large,1,2
1221,medium,0,NA
1222,large,1,3
1223,medium,0,NA
1224,small,0,NA
1225,small,0,NA
1226,small,1,5
1227,small,0,NA
1228,medium,1,4
1229,small,0,NA
1230,large,1,5
1231,large,1,5
1232,large,1,3
1233,small,0,NA
1234,medium,0,NA
1235,large,1,5
1236,medium,1,3
1237,medium,1,3
1238,small,1,1
1239,small,1,1
1240,medium,0,NA
1241,medium,1,1
1242,medium,0,NA
1243,medium,1,5
1244,small,0,NA
1245,small,0,NA
1246,small,1,4
1247,large,1,5
1248,large,0,NA
1249,large,0,NA
1250,medium,0,NA
1251,small,0,NA
1252,small,0,NA
1253,small,1,2
1254,medium,0,NA
1255,small,1,3
1256,large,1,5
1257,small,0,NA
1258,medium,0,NA
1259,medium,0,NA
1260,medium,1,4
1261,medium,0,NA
1262,small,0,NA
1263,small,1,3
1264,large,0,NA
1265,large,0,NA
1266,large,1,5
1267,small,0,NA
1268,large,1,5
1269,medium,0,NA
1270,small,0,NA
1271,small,0,NA
1272,medium,1,3
1273,large,1,5
1274,medium,0,NA
1275,large,0,NA
1276,large,0,NA
1277,small,0,NA
1278,small,0,NA
1279,small,0,NA
1280,large,1,4
1281,large,1,5
1282,medium,1,4
1283,small,0,NA
1284,small,0,NA
1285,large,0,NA
1286,small,0,NA
1287,small,0,NA
1288,small,0,NA
1289,medium,1,5
1290,large,0,NA
1291,medium,1,5
1292,medium,0,NA
1293,large,1,5
1294,large,1,5
1295,small,0,NA
1296,large,0,NA
1297,large,1,5
1298,large,1,2
1299,medium,0,NA
1300,small,0,NA
1301,small,0,NA
1302,large,1,4
1303,small,0,NA
1304,large,1,2
1305,large,1,4
1306,small,0,NA
1307,small,0,NA
1308,small,0,NA
1309,medium,1,3
1310,small,0,NA
1311,medium,1,3
1312,medium,0,NA
1313,medium,0,NA
1314,large,0,NA
1315,large,0,NA
1316,large,0,NA
1317,medium,0,NA
1318,medium,0,NA
1319,medium,0,NA
1320,large,0,NA
1321,medium,0,NA
1322,large,1,5
1323,medium,1,5
1324,small,0,NA
1325,medium,1,4
1326,medium,0,NA
1327,small,0,NA
1328,large,1,4
1329,large,0,NA
1330,large,1,3
1331,medium,1,5
1332,large,1,4
1333,large,1,4
1334,small,1,3
1335,large,1,5
1336,medium,0,NA
1337,large,1,5
1338,small,0,NA
1339,large,1,2
1340,medium,1,2
1341,small,0,NA
1342,small,1,2
1343,large,1,5
1344,small,0,NA
1345,medium,0,NA
1346,large,1,3
1347,medium,0,NA
1348,small,0,NA
1349,medium,0,NA
1350,small,0,NA
1351,medium,0,NA
1352,large,1,4
1353,medium,0,NA
1354,small,0,NA
1355,large,1,3
1356,medium,0,NA
1357,medium,0,NA
1358,large,1,5
1359,large,0,NA
1360,small,1,2
1361,medium,1,4
1362,medium,0,NA
1363,small,1,3
1364,medium,1,4
1365,small,0,NA
1366,large,0,NA
1367,large,1,5
1368,small,0,NA
1369,large,1,4
1370,medium,0,NA
1371,large,1,4
1372,large,1,4
1373,large,1,5
1374,medium,1,4
1375,large,1,5
1376,large,1,4
1377,large,0,NA
1378,small,0,NA
1379,large,1,2
1380,medium,1,2
1381,large,1,3
1382,small,0,NA
1383,large,0,NA
1384,small,0,NA
1385,medium,0,NA
1386,medium,0,NA
1387,small,0,NA
1388,small,0,NA
1389,small,0,NA
1390,medium,1,3
1391,small,0,NA
1392,large,1,5
1393,small,0,NA
1394,small,0,NA
1395,large,1,4
1396,small,0,NA
1397,medium,1,4
1398,small,0,NA
1399,medium,0,NA
1400,large,0,NA
1401,large,1,5
1402,small,0,NA
1403,medium,0,NA
1404,small,1,4
1405,medium,0,NA
1406,medium,1,3
1407,medium,1,3
1408,medium,0,NA
1409,small,0,NA
1410,large,0,NA
1411,large,1,3
1412,medium,0,NA
1413,small,0,NA
1414,large,1,5
1415,large,1,5
1416,small,0,NA
1417,medium,1,5
1418,medium,0,NA
1419,small,0,NA
1420,medium,0,NA
1421,small,0,NA
1422,medium,0,NA
1423,medium,0,NA
1424,large,1,4
1425,medium,0,NA
1426,small,0,NA
1427,small,0,NA
1428,medium,0,NA
1429,small,0,NA
1430,medium,1,4
1431,large,1,5
1432,large,1,2
1433,large,1,2
1434,medium,0,NA
1435,large,1,5
1436,medium,0,NA
1437,medium,1,3
1438,medium,1,5
1439,small,0,NA
1440,medium,0,NA
1441,large,0,NA
1442,small,0,NA
1443,small,0,NA
1444,small,0,NA
1445,medium,0,NA
1446,large,0,NA
1447,large,1,5
1448,small,0,NA
1449,small,1,3
1450,large,1,3
1451,medium,0,NA
1452,medium,0,NA
1453,small,0,NA
1454,medium,1,2
1455,small,0,NA
1456,small,0,NA
1457,large,1,4
1458,medium,1,4
1459,small,0,NA
1460,large,1,5
1461,medium,1,4
1462,medium,1,1
1463,small,0,NA
1464,large,1,5
1465,large,1,3
1466,small,0,NA
1467,medium,1,2
1468,large,1,5
1469,small,1,4
1470,small,1,4
1471,medium,1,3
1472,medium,0,NA
1473,large,1,5
1474,small,0,NA
1475,large,1,5
1476,small,0,NA
1477,large,1,4
1478,large,1,3
1479,large,0,NA
1480,small,0,NA
1481,small,1,2
1482,medium,1,3
1483,medium,0,NA
1484,large,1,2
1485,large,1,5
1486,medium,0,NA
1487,large,1,5
1488,small,0,NA
1489,small,0,NA
1490,medium,1,4
1491,medium,1,2
1492,large,0,NA
1493,medium,1,3
1494,medium,0,NA
1495,medium,0,NA
1496,medium,0,NA
1497,small,0,NA
1498,large,1,5
1499,small,0,NA
1500,medium,0,NA
1501,medium,1,3
1502,medium,0,NA
1503,medium,0,NA
1504,medium,1,3
1505,large,1,4
1506,small,1,3
1507,small,0,NA
1508,large,1,5
1509,small,1,1
1510,small,0,NA
